"DV","Model","ParamType","Variable","Estimate","SE","z_value","p_value","stars","CI_lower","CI_upper","n_indiv","n_days","Variable_Clean"
"Duration (Hours/Day)","Full (Baseline)","Fixed Effects (Location)","weekend",-0.13537,0.01754,-7.71782,0,"***",-0.1697484,-0.1009916,2848,35889,"Weekend (vs. Weekday)"
"Duration (Hours/Day)","Full (Baseline)","Fixed Effects (Location)","genderfemale",0.23526,0.06077,3.8713,0.00011,"***",0.1161508,0.3543692,2848,35889,"Gender (Female vs. Male)"
"Duration (Hours/Day)","Full (Baseline)","Fixed Effects (Location)","genderother",-0.23361,0.39248,-0.5952,0.55171,"",-1.0028708,0.5356508,2848,35889,"Gender (Other vs. Male)"
"Duration (Hours/Day)","Full (Baseline)","Fixed Effects (Location)","d_aidan",1.45789,0.1673,8.71424,0,"***",1.129982,1.785798,2848,35889,"Aidan Study"
"Duration (Hours/Day)","Full (Baseline)","Fixed Effects (Location)","d_beprprism",0.55341,0.16851,3.28405,0.00102,"**",0.2231304,0.8836896,2848,35889,"Behapp PRISM Study"
"Duration (Hours/Day)","Full (Baseline)","Fixed Effects (Location)","d_chow",2.05194,0.14956,13.71975,0,"***",1.7588024,2.3450776,2848,35889,"Chow Study"
"Duration (Hours/Day)","Full (Baseline)","Fixed Effects (Location)","d_moody",0.36361,0.13063,2.78346,0.00538,"**",0.1075752,0.6196448,2848,35889,"MoodyLife Study"
"Duration (Hours/Day)","Full (Baseline)","Fixed Effects (Location)","d_spain1",1.13671,0.19966,5.69314,0,"***",0.7453764,1.5280436,2848,35889,"Spain 1 Study"
"Duration (Hours/Day)","Full (Baseline)","Fixed Effects (Location)","d_spain2",1.06514,0.14197,7.50245,0,"***",0.7868788,1.3434012,2848,35889,"Spain 2 Study"
"Duration (Hours/Day)","Full (Baseline)","Fixed Effects (Location)","d_smart1",0.63261,0.18947,3.33889,0.00084,"***",0.2612488,1.0039712,2848,35889,"Study Smart W1"
"Duration (Hours/Day)","Full (Baseline)","Fixed Effects (Location)","d_smart2",0.45285,0.17084,2.65075,0.00803,"**",0.1180036,0.7876964,2848,35889,"Study Smart W2"
"Duration (Hours/Day)","Full (Baseline)","Fixed Effects (Location)","d_smart3",0.58638,0.14968,3.91747,9e-05,"***",0.2930072,0.8797528,2848,35889,"Study Smart W3"
"Duration (Hours/Day)","Full (Baseline)","Fixed Effects (Location)","d_yannik",0.28628,0.12396,2.30935,0.02092,"*",0.0433184,0.5292416,2848,35889,"Yannik Study"
"Duration (Hours/Day)","Full (Baseline)","Fixed Effects (Location)","d_disconn",-0.05467,0.12332,-0.4433,0.65755,"",-0.2963772,0.1870372,2848,35889,"Disconnect Study"
"Duration (Hours/Day)","Full (Baseline)","Fixed Effects (Location)","d_emotion",0.50762,0.131,3.875,0.00011,"***",0.25086,0.76438,2848,35889,"eMotion Study"
"Duration (Hours/Day)","Full (Baseline)","Fixed Effects (Location)","d_kling",0.28994,0.16259,1.78329,0.07454,"",-0.0287364,0.6086164,2848,35889,"Klingelhoefer Study"
"Duration (Hours/Day)","Full (Baseline)","Fixed Effects (Location)","age_grandC",-0.02815,0.00223,-12.64591,0,"***",-0.0325208,-0.0237792,2848,35889,"Age (Centered)"
"Duration (Hours/Day)","Full (Baseline)","Within-Person Variance (Scale)","weekend",0.19706,0.01957,10.06838,0,"***",0.1587028,0.2354172,2848,35889,"Weekend (vs. Weekday)"
"Duration (Hours/Day)","Full (Baseline)","Within-Person Variance (Scale)","genderfemale",0.1223,0.04952,2.46986,0.01352,"*",0.0252408,0.2193592,2848,35889,"Gender (Female vs. Male)"
