"DV","Model","ParamType","Variable","Estimate","SE","z_value","p_value","stars","CI_lower","CI_upper","n_indiv","n_days","Variable_Clean"
"Duration (Hours/Day)","Full (Baseline)","Fixed Effects (Location)","weekend",-0.13517,0.01763,-7.66684,0,"***",-0.1697248,-0.1006152,2848,35889,"Weekend (vs. Weekday)"
"Duration (Hours/Day)","Full (Baseline)","Fixed Effects (Location)","genderfemale",0.16121,0.05908,2.72877,0.00636,"**",0.0454132,0.2770068,2848,35889,"Gender (Female vs. Male)"
"Duration (Hours/Day)","Full (Baseline)","Fixed Effects (Location)","genderother",-0.11543,0.36729,-0.31428,0.7533,"",-0.8353184,0.6044584,2848,35889,"Gender (Other vs. Male)"
"Duration (Hours/Day)","Full (Baseline)","Fixed Effects (Location)","d_aidan",1.48859,0.15742,9.4559,0,"***",1.1800468,1.7971332,2848,35889,"Aidan Study"
"Duration (Hours/Day)","Full (Baseline)","Fixed Effects (Location)","d_beprprism",0.49883,0.15427,3.23355,0.00122,"**",0.1964608,0.8011992,2848,35889,"Behapp PRISM Study"
"Duration (Hours/Day)","Full (Baseline)","Fixed Effects (Location)","d_chow",2.10686,0.20261,10.39835,0,"***",1.7097444,2.5039756,2848,35889,"Chow Study"
"Duration (Hours/Day)","Full (Baseline)","Fixed Effects (Location)","d_moody",0.35662,0.12303,2.89859,0.00375,"**",0.1154812,0.5977588,2848,35889,"MoodyLife Study"
"Duration (Hours/Day)","Full (Baseline)","Fixed Effects (Location)","d_spain1",1.13716,0.19625,5.79458,0,"***",0.75251,1.52181,2848,35889,"Spain 1 Study"
"Duration (Hours/Day)","Full (Baseline)","Fixed Effects (Location)","d_spain2",1.07754,0.13538,7.95962,0,"***",0.8121952,1.3428848,2848,35889,"Spain 2 Study"
"Duration (Hours/Day)","Full (Baseline)","Fixed Effects (Location)","d_smart1",0.66309,0.18337,3.61613,3e-04,"***",0.3036848,1.0224952,2848,35889,"Study Smart W1"
"Duration (Hours/Day)","Full (Baseline)","Fixed Effects (Location)","d_smart2",0.48378,0.16422,2.94589,0.00322,"**",0.1619088,0.8056512,2848,35889,"Study Smart W2"
"Duration (Hours/Day)","Full (Baseline)","Fixed Effects (Location)","d_smart3",0.5936,0.14374,4.1298,4e-05,"***",0.3118696,0.8753304,2848,35889,"Study Smart W3"
