"DV","Model","ParamType","Variable","Estimate","SE","z_value","p_value","stars","CI_lower","CI_upper","n_indiv","n_days","Variable_Clean"
"Duration (Hours/Day)","Affect","Fixed Effects (Location)","PANAS_POS",-0.89286,0.36436,-2.4505,0.01427,"*",-1.6070056,-0.1787144,1245,16314,"Positive Affect"
"Duration (Hours/Day)","Affect","Fixed Effects (Location)","PANAS_NEG",0.42218,0.32919,1.2825,0.19967,"",-0.2230324,1.0673924,1245,16314,"Negative Affect"
"Duration (Hours/Day)","Affect","Within-Person Variance (Scale)","PANAS_POS",-0.36703,0.07354,-4.99121,0,"***",-0.5111684,-0.2228916,1245,16314,"Positive Affect"
"Duration (Hours/Day)","Affect","Within-Person Variance (Scale)","PANAS_NEG",0.21964,0.06539,3.35914,0.00078,"***",0.0914756,0.3478044,1245,16314,"Negative Affect"
"Duration (Hours/Day)","PHQ","Fixed Effects (Location)","PHQ",0.26695,0.11061,2.41344,0.0158,"*",0.0501544,0.4837456,880,10215,"Depressive Symptoms (PHQ)"
"Duration (Hours/Day)","PHQ","Within-Person Variance (Scale)","PHQ",0.23966,0.02707,8.85429,0,"***",0.1866028,0.2927172,880,10215,"Depressive Symptoms (PHQ)"
"Duration (Hours/Day)","SWLS","Fixed Effects (Location)","SWLS",-0.28349,0.04144,-6.84165,0,"***",-0.3647124,-0.2022676,1708,21738,"Life Satisfaction (SWLS)"
"Duration (Hours/Day)","SWLS","Within-Person Variance (Scale)","SWLS",-0.07124,0.00852,-8.36219,0,"***",-0.0879392,-0.0545408,1708,21738,"Life Satisfaction (SWLS)"
"Apps (Unique Count)","Affect","Fixed Effects (Location)","PANAS_POS",-1.42111,0.81072,-1.75289,0.07962,"",-3.0101212,0.1679012,1245,16314,"Positive Affect"
"Apps (Unique Count)","Affect","Fixed Effects (Location)","PANAS_NEG",0.60772,0.74099,0.82014,0.41213,"",-0.8446204,2.0600604,1245,16314,"Negative Affect"
"Apps (Unique Count)","Affect","Within-Person Variance (Scale)","PANAS_POS",-0.14407,0.07486,-1.92448,0.05429,"",-0.2907956,0.00265559999999995,1245,16314,"Positive Affect"
"Apps (Unique Count)","Affect","Within-Person Variance (Scale)","PANAS_NEG",0.09818,0.06845,1.43429,0.15149,"",-0.035982,0.232342,1245,16314,"Negative Affect"
"Apps (Unique Count)","PHQ","Fixed Effects (Location)","PHQ",0.52419,0.31639,1.6568,0.09756,"",-0.0959344,1.1443144,880,10215,"Depressive Symptoms (PHQ)"
"Apps (Unique Count)","PHQ","Within-Person Variance (Scale)","PHQ",0.19528,0.02858,6.83348,0,"***",0.1392632,0.2512968,880,10215,"Depressive Symptoms (PHQ)"
"Apps (Unique Count)","SWLS","Fixed Effects (Location)","SWLS",-0.30733,0.10104,-3.04166,0.00235,"**",-0.5053684,-0.1092916,1708,21738,"Life Satisfaction (SWLS)"
"Apps (Unique Count)","SWLS","Within-Person Variance (Scale)","SWLS",-0.03838,0.00871,-4.40559,1e-05,"***",-0.0554516,-0.0213084,1708,21738,"Life Satisfaction (SWLS)"
