"DV","Model","ParamType","Variable","Estimate","SE","z_value","p_value","stars","CI_lower","CI_upper","n_indiv","n_days","Variable_Clean"
"Duration (Hours/Day)","Affect","Fixed Effects (Location)","PANAS_POS",-0.97325,0.35188,-2.76588,0.00568,"**",-1.6629348,-0.2835652,1245,16314,"Positive Affect"
"Duration (Hours/Day)","Affect","Fixed Effects (Location)","PANAS_NEG",0.37562,0.32647,1.15053,0.24992,"",-0.2642612,1.0155012,1245,16314,"Negative Affect"
"Duration (Hours/Day)","Affect","Within-Person Variance (Scale)","PANAS_POS",-0.35439,0.06924,-5.11826,0,"***",-0.4901004,-0.2186796,1245,16314,"Positive Affect"
"Duration (Hours/Day)","Affect","Within-Person Variance (Scale)","PANAS_NEG",0.20692,0.06331,3.26847,0.00108,"**",0.0828324,0.3310076,1245,16314,"Negative Affect"
"Duration (Hours/Day)","PHQ","Fixed Effects (Location)","PHQ",0.37111,0.11051,3.35816,0.00078,"***",0.1545104,0.5877096,880,10215,"Depressive Symptoms (PHQ)"
"Duration (Hours/Day)","PHQ","Within-Person Variance (Scale)","PHQ",0.24016,0.02449,9.80638,0,"***",0.1921596,0.2881604,880,10215,"Depressive Symptoms (PHQ)"
"Duration (Hours/Day)","SWLS","Fixed Effects (Location)","SWLS",-0.27363,0.04041,-6.77203,0,"***",-0.3528336,-0.1944264,1708,21738,"Life Satisfaction (SWLS)"
"Duration (Hours/Day)","SWLS","Within-Person Variance (Scale)","SWLS",-0.06736,0.0085,-7.92626,0,"***",-0.08402,-0.0507,1708,21738,"Life Satisfaction (SWLS)"
"Apps (Unique Count)","Affect","Fixed Effects (Location)","PANAS_POS",-1.39156,0.79348,-1.75374,0.07948,"",-2.9467808,0.1636608,1245,16314,"Positive Affect"
"Apps (Unique Count)","Affect","Fixed Effects (Location)","PANAS_NEG",0.55555,0.72967,0.76137,0.44643,"",-0.8746032,1.9857032,1245,16314,"Negative Affect"
"Apps (Unique Count)","Affect","Within-Person Variance (Scale)","PANAS_POS",-0.06553,0.07145,-0.91714,0.35907,"",-0.205572,0.074512,1245,16314,"Positive Affect"
"Apps (Unique Count)","Affect","Within-Person Variance (Scale)","PANAS_NEG",0.10589,0.06554,1.61557,0.10619,"",-0.0225684,0.2343484,1245,16314,"Negative Affect"
"Apps (Unique Count)","PHQ","Fixed Effects (Location)","PHQ",0.35774,0.32872,1.08829,0.27647,"",-0.2865512,1.0020312,880,10215,"Depressive Symptoms (PHQ)"
"Apps (Unique Count)","PHQ","Within-Person Variance (Scale)","PHQ",0.10211,0.02613,3.90852,9e-05,"***",0.0508952,0.1533248,880,10215,"Depressive Symptoms (PHQ)"
"Apps (Unique Count)","SWLS","Fixed Effects (Location)","SWLS",-0.31963,0.098,-3.26138,0.00111,"**",-0.51171,-0.12755,1708,21738,"Life Satisfaction (SWLS)"
"Apps (Unique Count)","SWLS","Within-Person Variance (Scale)","SWLS",-0.04635,0.00851,-5.44661,0,"***",-0.0630296,-0.0296704,1708,21738,"Life Satisfaction (SWLS)"
